OrderID,CustomerID,ProductID,RegionCode,Order Date,Quantity,Unit Price (NGN),Discount %,Shipping Cost (NGN),Payment Method,Status,Sales Rep,Notes
ORD-00287,C0027,P003,R07,07-01-22,24,26465,0.05,2328,Bank Transfer,Completed,Tonye Peterside,
ORD-01881,C0873,P013,R08,04-12-23,25,195579,0.1,5276,Cash,Pending,Yakubu Idris,Urgent Delivery
ORD-01740,C0527,P007,R12,02-05-21,28,14551,0,1905,POS,Completed,Hauwa Gombe,
ORD-02842,C0930,P019,R13,20-07-21,20,86659,0.15,5240,Bank Transfer,Pending,Hauwa Gombe,
ORD-01814,C0208,P016,R09,13-07-21,23,263757,0,6248,POS,Completed,Musa Danladi,
ORD-02138,C0391,P010,R09,22-04-21,13,14092,0.15,1893,Bank Transfer,Pending,Musa Danladi,Urgent Delivery
ORD-00169,C0167,P018,R11,25-06-21,9,134492,0.2,7889,Bank Transfer,Pending,Fatima Umar,Return Requested
ORD-02276,C0272,P014,R03,11-02-22,43,2325,0,1535,Cheque,Completed,Tunde Afolabi,Return Requested
ORD-02881,C1034,P017,R11,23-11-23,8,141649,0.1,6321,Bank Transfer,Completed,Kabiru Musa,
ORD-01249,C0692,P012,R01,27-11-22,47,17194,0,3984,POS,Pending,Tunde Afolabi,
ORD-02958,C0679,P020,R10,12-06-22,31,72543,0,3273,Bank Transfer,Cancelled,Zainab Aliyu,Paid On Delivery
ORD-02418,C0826,P012,R09,15-01-22,50,16127,0,1247,POS,Pending,Bose Adama,
ORD-02768,C0450,P014,R08,18-09-22,40,8353,0.05,1999,POS,Pending,Yakubu Idris,
ORD-01091,C0193,P018,R11,26-08-21,16,116067,0.15,4372,POS,Completed,Zainab Aliyu,Bulk Order
ORD-00541,C0748,P020,R10,19-05-22,19,62826,0,4154,Cheque,Pending,Zainab Aliyu,Return Requested
ORD-00880,C1006,P019,R06,11-04-22,45,83116,0,4665,POS,Pending,Tonye Peterside,Paid On Delivery
ORD-02024,C0220,P007,R09,05-04-22,41,8024,0.1,2053,Cheque,Cancelled,Musa Danladi,VIP Customer
ORD-02354,C0117,P008,R03,13-09-22,28,90008,0.1,7866,Cash,Completed,Seun Bello,
ORD-02829,C0134,P015,R12,02-09-23,18,291671,0.15,6894,Cash,Completed,Hauwa Gombe,Urgent Delivery
ORD-02900,C0778,P010,R08,20-07-21,27,10099,0.15,7661,POS,Cancelled,Musa Danladi,Return Requested
ORD-02300,C0670,P008,R05,16-11-23,23,102341,0.1,4919,POS,Pending,Amaka Nwosu,Bulk Order
ORD-01364,C0565,P012,R05,12-04-22,3,20227,0.15,4068,Bank Transfer,Pending,Uche Eze,Corporate Discount
ORD-01763,C0229,P016,R04,14-01-21,15,261660,0.05,6530,POS,Pending,Amaka Nwosu,VIP Customer
ORD-00208,C0449,P009,R10,05-06-23,24,45161,0.05,6801,Cash,Completed,Kabiru Musa,VIP Customer
ORD-00790,C0403,P010,R02,11-09-22,27,11058,0,2267,Cheque,Completed,Lanre Ojo,Bulk Order
ORD-00888,C0238,P008,R02,28-08-23,2,98205,0.2,7284,Cash,Completed,Seun Bello,
ORD-02755,C0963,P011,R12,28-06-21,49,18585,0,1045,Cash,Pending,Unassigned,
ORD-00155,C0779,P007,R07,19-08-21,24,14218,0.2,2371,Cash,Pending,Emeka Obi,Paid On Delivery
ORD-00509,C0151,P002,R08,27-10-21,7,76366,0,1182,Cheque,Completed,Yakubu Idris,
ORD-02264,C0517,P010,R01,12-09-22,9,18945,0,7093,POS,Cancelled,Tunde Afolabi,
ORD-01739,C0971,P004,R08,23-09-21,4,116719,0.05,7361,Bank Transfer,Cancelled,Yakubu Idris,
ORD-02320,C0598,P004,R01,28-02-22,24,115738,0.2,3800,Bank Transfer,Pending,Tunde Afolabi,
ORD-01432,C1111,P015,R03,18-10-22,47,280920,0,4284,Bank Transfer,Pending,Lanre Ojo,Urgent Delivery
ORD-01854,C1161,P016,R04,08-03-23,27,252204,0.15,2675,Bank Transfer,Pending,Uche Eze,Urgent Delivery
ORD-02560,C0590,P018,R03,30-08-21,25,133145,0.15,2012,POS,Pending,Seun Bello,VIP Customer
ORD-00713,C0956,P009,R01,11-02-23,16,40216,0.05,3359,POS,Returned,Seun Bello,Partial Payment
ORD-01653,C0690,P008,R07,06-12-23,0,102424,0,1166,POS,Pending,Emeka Obi,Urgent Delivery
ORD-00841,C0588,P005,R09,03-07-22,42,159988,0,4083,Cheque,Cancelled,Yakubu Idris,Return Requested
ORD-02190,C0302,P005,R05,27-06-23,45,160354,0,580,Bank Transfer,Returned,Amaka Nwosu,Bulk Order
ORD-01329,C0250,P014,R11,22-05-21,24,18705,0.1,3759,Cash,Completed,Kabiru Musa,Corporate Discount
ORD-00991,C0676,P018,R10,23-11-21,16,116354,0,5096,Cash,Pending,Kabiru Musa,Partial Payment
ORD-01652,C0692,P010,R04,17-02-22,6,22805,0.05,749,Cash,Completed,Uche Eze,VIP Customer
ORD-02860,C0233,P010,R11,30-12-21,3,10182,0.1,5818,Cash,Pending,Zainab Aliyu,Paid On Delivery
ORD-00948,C0521,P015,R10,05-11-23,14,284589,0.1,1456,POS,Completed,Kabiru Musa,Paid On Delivery
ORD-00773,C0957,P005,R03,06-03-21,48,162432,0,7436,Bank Transfer,Completed,Lanre Ojo,Return Requested
ORD-00429,C0706,P013,R04,22-01-21,5,197067,0,3470,Cash,Completed,Amaka Nwosu,Corporate Discount
ORD-01065,C1058,P016,R10,14-08-23,41,257261,0.15,2701,Cash,Pending,Kabiru Musa,Paid On Delivery
ORD-00817,C0449,P016,R10,12-03-21,29,256509,0.1,6319,POS,Completed,Kabiru Musa,VIP Customer
ORD-02611,C0979,P017,R04,17-04-21,43,135970,0.15,5600,Bank Transfer,Completed,Uche Eze,Bulk Order
ORD-00959,C0225,P017,R13,30-05-23,46,144016,0,2475,Bank Transfer,Returned,Hauwa Gombe,
ORD-02277,C0295,P001,R06,07-05-21,7,563188,0,618,Bank Transfer,Completed,Emeka Obi,Bulk Order
ORD-01123,C0661,P009,R06,17-08-22,33,36161,0,2024,POS,Completed,Efemena Oghenekaro,
ORD-00914,C0537,P004,R01,26-05-21,40,123487,0,3662,Cash,Completed,Tunde Afolabi,Partial Payment
ORD-02457,C0112,P006,R03,10-01-23,18,6414,0,1382,Cheque,Pending,Tunde Afolabi,Corporate Discount
ORD-00006,C0111,P012,R11,18-11-23,13,15949,0,5737,Bank Transfer,Cancelled,Zainab Aliyu,
ORD-02921,C0910,P009,R13,10-03-23,22,35289,0,5902,POS,Pending,Hauwa Gombe,Paid On Delivery
ORD-01502,C1015,P018,R03,18-11-21,2,132893,0,5070,Cash,Pending,Lanre Ojo,Corporate Discount
ORD-02575,C0958,P002,R02,28-12-21,18,77643,0.1,958,POS,Completed,Seun Bello,Bulk Order
ORD-02838,C0236,P010,R08,15-04-22,6,21352,0.05,3668,POS,Pending,Bose Adama,
ORD-02573,C0850,P002,R05,17-06-23,25,69497,0,6729,Cheque,Completed,Uche Eze,
ORD-01166,C0600,P014,R01,03-09-23,37,16047,0,5642,POS,Cancelled,Seun Bello,Urgent Delivery
ORD-02357,C0495,P003,R06,10-06-23,8,24209,0.1,2469,Bank Transfer,Completed,Tonye Peterside,
ORD-01858,C1085,P018,R01,09-10-23,34,127189,0.15,3013,POS,Cancelled,Lanre Ojo,
ORD-00809,C0495,P014,R05,06-03-23,27,14347,0.2,2033,Bank Transfer,Returned,Chidi Okonkwo,Corporate Discount
ORD-00001,C0995,P013,R13,07-06-21,16,210038,0.2,917,Cash,Completed,Suleiman Ringim,
ORD-00969,C0527,P001,R13,15-07-22,30,552033,0,5109,Cash,Returned,Adamu Yusuf,Return Requested
ORD-02521,C1088,P003,R10,12-07-21,13,29050,0,3715,POS,Completed,Fatima Umar,
ORD-02007,C0742,P003,R03,26-10-22,20,27960,0,7893,Bank Transfer,Cancelled,Lanre Ojo,
ORD-00472,C1058,P015,R11,29-03-23,14,279242,0.2,765,POS,Completed,Fatima Umar,
ORD-00238,C0698,P008,R11,21-09-22,15,99123,0.15,7068,Bank Transfer,Returned,Fatima Umar,
ORD-00473,C0732,P016,R03,18-01-23,29,246002,0.15,6805,Bank Transfer,Pending,Tunde Afolabi,VIP Customer
ORD-01387,C0486,P001,R07,27-07-23,47,561882,0.2,7289,Cash,Completed,Tonye Peterside,VIP Customer
ORD-01423,C0176,P011,R07,07-08-21,17,6960,0,7647,POS,Pending,Emeka Obi,
ORD-02029,C0982,P011,R09,03-07-23,23,12094,0.15,3979,Bank Transfer,Pending,Bose Adama,Bulk Order
ORD-00913,C0209,P016,R13,04-08-23,43,253618,0,4321,Cash,Completed,Suleiman Ringim,
ORD-00737,C0791,P010,R13,23-10-22,40,10751,0.15,5921,Bank Transfer,Returned,Suleiman Ringim,Urgent Delivery
ORD-02026,C0289,P012,R04,07-06-23,39,14277,0,4446,Bank Transfer,Completed,Chidi Okonkwo,Return Requested
ORD-01479,C0252,P001,R06,22-06-23,2,559839,0.05,5611,Bank Transfer,Returned,Efemena Oghenekaro,
ORD-02944,C0802,P018,R03,03-04-21,5,115609,0.15,4430,POS,Pending,Tunde Afolabi,
ORD-00644,C0033,P012,R08,06-07-23,46,15504,0.05,6959,Cheque,Completed,Yakubu Idris,
ORD-02511,C0748,P003,R07,19-04-23,41,37137,0.2,7489,Bank Transfer,Pending,Emeka Obi,
ORD-00271,C0943,P006,R10,25-04-21,40,5051,0.2,2999,Cash,Cancelled,Fatima Umar,Partial Payment
ORD-00513,C0137,P001,R08,05-05-22,15,552605,0,5331,POS,Pending,Musa Danladi,Paid On Delivery
ORD-02240,C1142,P001,R06,22-01-23,27,552300,0,518,Cheque,Completed,Unassigned,
ORD-02247,C0880,P015,R01,01-02-21,24,276695,0,5644,Cheque,Completed,Seun Bello,
ORD-01972,C0758,P007,R09,09-02-23,42,8763,0.05,7697,Bank Transfer,Completed,Musa Danladi,Return Requested
ORD-00592,C0270,P001,R04,17-02-21,9,561751,0.15,1609,Bank Transfer,Pending,Chidi Okonkwo,Paid On Delivery
ORD-01056,C0410,P016,R13,28-06-23,12,259425,0,864,POS,Cancelled,Adamu Yusuf,Urgent Delivery
ORD-00436,C0078,P008,R06,24-08-22,28,95798,0,2631,Bank Transfer,Returned,Tonye Peterside,Urgent Delivery
ORD-01035,C0070,P003,R06,14-05-21,18,24421,0,7265,POS,Returned,Emeka Obi,
ORD-01912,C0641,P007,R08,21-04-22,27,4011,0.1,4231,Cash,Completed,Musa Danladi,Partial Payment
ORD-00102,C0246,P013,R07,26-11-22,0,206912,0.1,2484,Cash,Pending,Emeka Obi,Corporate Discount
ORD-01411,C0833,P007,R09,05-09-21,9,1000,0,2758,Bank Transfer,Cancelled,Musa Danladi,Partial Payment
ORD-02234,C0843,P015,R08,02-09-23,18,289785,0,7702,Bank Transfer,Completed,Yakubu Idris,
ORD-01010,C0700,P001,R11,07-05-21,15,559894,0,6244,Cheque,Completed,Zainab Aliyu,
ORD-00875,C0315,P020,R06,21-11-23,16,71223,0.1,1896,Bank Transfer,Pending,Tonye Peterside,Return Requested
ORD-02655,C0911,P011,R06,03-05-23,3,15473,0,5919,Cheque,Completed,Emeka Obi,
ORD-02685,C0254,P015,R07,31-10-23,43,280354,0,2479,Bank Transfer,Completed,Efemena Oghenekaro,Paid On Delivery
ORD-00100,C0162,P010,R03,08-08-23,39,23052,0,5124,Cheque,Pending,Tunde Afolabi,Corporate Discount
ORD-00361,C1199,P011,R11,04-06-22,36,5358,0.05,1746,POS,Pending,Kabiru Musa,Corporate Discount
ORD-02888,C0518,P002,R10,08-01-23,39,73878,0,6842,POS,Completed,Fatima Umar,
ORD-00274,C0622,P017,R05,14-02-23,6,150467,0,5420,Cheque,Completed,Ngozi Obiora,
ORD-00101,C0983,P001,R09,25-05-22,32,558288,0.05,6846,Cheque,Pending,Yakubu Idris,Corporate Discount
ORD-02255,C0356,P003,R05,05-05-21,16,23180,0,5922,Cash,Cancelled,Ngozi Obiora,VIP Customer
ORD-01263,C0741,P012,R11,23-11-23,19,12095,0,7916,Cash,Completed,Kabiru Musa,
ORD-00838,C0771,P011,R09,01-09-22,18,11223,0.05,2644,POS,Completed,Yakubu Idris,
ORD-01340,C0637,P012,R02,23-09-21,15,14374,0.15,6100,POS,Completed,Ronke Adeyemi,Return Requested
ORD-00992,C0328,P009,R12,17-05-23,38,48499,0.2,5067,Bank Transfer,Completed,Adamu Yusuf,Urgent Delivery
ORD-02735,C0368,P013,R04,02-01-22,40,200401,0,5707,Bank Transfer,Completed,Chidi Okonkwo,Corporate Discount
ORD-02402,C0071,P015,R03,20-07-23,40,285079,0.05,6742,Cash,Returned,Seun Bello,Urgent Delivery
ORD-00401,C0405,P003,R12,19-05-21,27,30804,0.05,5609,Bank Transfer,Returned,Adamu Yusuf,Partial Payment
ORD-00479,C0671,P015,R11,23-09-22,12,275632,0.15,2586,Cash,Returned,Kabiru Musa,VIP Customer
ORD-02011,C0194,P003,R07,18-11-21,4,35596,0.2,3596,Bank Transfer,Cancelled,Efemena Oghenekaro,Bulk Order
ORD-00823,C1054,P017,R12,01-02-23,33,137633,0,6217,Cheque,Cancelled,Hauwa Gombe,Partial Payment
ORD-00750,C1195,P002,R12,19-09-21,27,67682,0,5824,Cash,Pending,Suleiman Ringim,VIP Customer
ORD-00335,C0681,P005,R05,02-12-22,24,159580,0.2,2278,Bank Transfer,Returned,Chidi Okonkwo,
ORD-02919,C0715,P019,R13,24-01-21,39,95917,0,6616,POS,Cancelled,Suleiman Ringim,Partial Payment
ORD-00504,C0300,P009,R11,16-09-22,28,52886,0.15,1299,Bank Transfer,Completed,Fatima Umar,
ORD-01611,C0840,P015,R12,25-05-23,22,291183,0.2,7192,Cash,Completed,Adamu Yusuf,Partial Payment
ORD-01659,C0163,P014,R07,09-03-23,38,8782,0.1,1583,POS,Pending,Tonye Peterside,
ORD-01000,C1182,P019,R03,03-11-21,20,96599,0.2,6443,Cheque,Completed,Tunde Afolabi,Urgent Delivery
ORD-01354,C0226,P011,R05,12-06-22,27,17656,0,4679,Bank Transfer,Cancelled,Amaka Nwosu,
ORD-00845,C0692,P001,R09,12-02-23,7,562212,0.2,2524,Bank Transfer,Pending,Musa Danladi,
ORD-01224,C0535,P017,R03,25-09-21,18,148953,0,6702,Bank Transfer,Pending,Seun Bello,
ORD-02651,C0927,P020,R05,01-01-23,21,62594,0,7267,Cheque,Pending,Amaka Nwosu,VIP Customer
ORD-02404,C0956,P011,R08,25-01-21,14,8028,0.15,2769,Bank Transfer,Completed,Yakubu Idris,Return Requested
ORD-01760,C0338,P019,R11,10-08-21,48,80055,0.15,5189,Cheque,Completed,Kabiru Musa,VIP Customer
ORD-02533,C0512,P014,R06,02-08-21,40,10460,0.15,6396,Bank Transfer,Pending,Tonye Peterside,Partial Payment
ORD-02205,C0391,P012,R09,17-07-23,34,24027,0,4183,Bank Transfer,Pending,Musa Danladi,VIP Customer
ORD-00409,C0584,P003,R13,20-05-23,41,29807,0.15,7096,POS,Completed,Suleiman Ringim,
ORD-01313,C1191,P011,R04,12-10-23,40,3888,0.15,1510,Bank Transfer,Pending,Ngozi Obiora,
ORD-02125,C0121,P015,R07,13-08-21,48,288147,0.15,4008,Cheque,Pending,Efemena Oghenekaro,
ORD-02266,C1169,P013,R03,08-10-22,12,200281,0.15,2981,Bank Transfer,Completed,Seun Bello,Return Requested
ORD-02969,C1062,P017,R09,12-01-22,37,146499,0.05,2385,Bank Transfer,Pending,Bose Adama,Paid On Delivery
ORD-02377,C0115,P012,R01,09-01-21,31,15541,0,7001,Cash,Pending,Ronke Adeyemi,Return Requested
ORD-00895,C0941,P004,R01,28-12-23,5,122284,0.15,4072,Bank Transfer,Pending,Tunde Afolabi,Corporate Discount
ORD-01143,C0199,P012,R04,24-03-21,38,23466,0,5929,Cheque,Completed,Ngozi Obiora,
ORD-00048,C0668,P007,R12,06-09-22,43,1000,0.2,6744,Cash,Completed,Suleiman Ringim,VIP Customer
ORD-02173,C0810,P005,R12,13-06-23,2,159726,0.2,5402,POS,Pending,Hauwa Gombe,Corporate Discount
ORD-02295,C0776,P002,R08,13-02-22,19,77477,0,3277,Cheque,Completed,Musa Danladi,
ORD-02044,C0935,P019,R09,19-08-23,16,95579,0,6813,Cash,Cancelled,Bose Adama,Urgent Delivery
ORD-02535,C0419,P008,R12,13-09-23,44,97805,0.2,5088,POS,Pending,Suleiman Ringim,Corporate Discount
ORD-01188,C0967,P016,R12,18-11-23,49,251716,0,6775,Cash,Pending,Adamu Yusuf,
ORD-00151,C0787,P017,R02,30-05-21,25,151922,0,7403,POS,Pending,Ronke Adeyemi,VIP Customer
ORD-02562,C0739,P008,R01,20-10-23,24,90943,0.2,2945,Bank Transfer,Pending,Tunde Afolabi,VIP Customer
ORD-01202,C1128,P011,R03,09-01-23,4,13994,0.05,4942,Bank Transfer,Completed,Ronke Adeyemi,
ORD-01120,C0567,P014,R10,28-02-23,26,15798,0,3338,Cash,Returned,Kabiru Musa,VIP Customer
ORD-02948,C0670,P016,R02,07-04-22,16,259154,0.2,5476,POS,Pending,Seun Bello,
ORD-02114,C0004,P007,R05,23-09-21,28,1000,0.2,627,Bank Transfer,Returned,Uche Eze,
ORD-01393,C0489,P020,R13,20-08-22,13,75384,0.05,5576,Bank Transfer,Returned,Adamu Yusuf,VIP Customer
ORD-00755,C1095,P013,R10,03-08-23,28,214732,0,2057,Cash,Pending,Zainab Aliyu,Paid On Delivery
ORD-02490,C0739,P017,R05,18-07-23,44,147110,0,4860,Cash,Completed,Ngozi Obiora,Paid On Delivery
ORD-02654,C0373,P014,R13,22-06-21,23,20699,0.1,3643,Bank Transfer,Completed,Hauwa Gombe,Urgent Delivery
ORD-02250,C0878,P017,R07,10-06-21,2,139395,0.1,3771,POS,Cancelled,Efemena Oghenekaro,Partial Payment
ORD-00891,C0047,P003,R10,25-02-23,12,25506,0,5312,Cheque,Returned,Zainab Aliyu,Urgent Delivery
ORD-02605,C0113,P020,R10,28-12-21,41,69538,0.05,6591,POS,Cancelled,Zainab Aliyu,Return Requested
ORD-02422,C0221,P020,R09,17-09-22,22,67945,0,3606,Cash,Completed,Musa Danladi,Bulk Order
ORD-00020,C0418,P018,R03,01-08-23,21,132812,0,6830,Cash,Cancelled,Seun Bello,Corporate Discount
ORD-02329,C0114,P003,R05,09-05-21,26,31431,0.15,907,Bank Transfer,Cancelled,Ngozi Obiora,Corporate Discount
ORD-02078,C1091,P004,R07,23-09-21,5,134762,0.05,7617,Bank Transfer,Cancelled,Emeka Obi,Partial Payment
ORD-00716,C0190,P003,R11,12-08-21,16,24640,0.1,1960,Bank Transfer,Pending,Fatima Umar,
ORD-02080,C1184,P015,R06,17-02-21,7,290086,0.05,677,Bank Transfer,Pending,Efemena Oghenekaro,Partial Payment
ORD-01066,C0276,P019,R03,20-06-23,2,92767,0,5867,Cash,Pending,Ronke Adeyemi,
ORD-01196,C0014,P006,R13,10-11-22,25,9133,0.05,7511,POS,Cancelled,Adamu Yusuf,Bulk Order
ORD-02103,C0335,P019,R01,07-08-23,5,93557,0,7116,Bank Transfer,Returned,Tunde Afolabi,
ORD-01485,C0094,P006,R10,07-08-21,23,3372,0,1444,Cash,Pending,Fatima Umar,
ORD-02666,C0943,P017,R11,23-09-23,11,148616,0,6062,Cash,Pending,Zainab Aliyu,
ORD-02076,C1079,P004,R11,26-04-22,15,119011,0.2,4857,POS,Completed,Zainab Aliyu,
ORD-02211,C0966,P002,R10,15-07-23,13,69840,0,4846,Bank Transfer,Pending,Zainab Aliyu,
ORD-01991,C0837,P003,R12,06-04-22,24,21803,0.15,5481,POS,Cancelled,Adamu Yusuf,
ORD-02454,C0880,P013,R07,13-05-22,25,206945,0.05,4927,POS,Pending,Emeka Obi,Urgent Delivery
ORD-00093,C1167,P010,R07,03-06-22,29,22127,0.2,3785,Bank Transfer,Pending,Efemena Oghenekaro,Paid On Delivery
ORD-01238,C1149,P015,R07,17-03-22,4,292061,0.15,3693,POS,Returned,Tonye Peterside,Paid On Delivery
ORD-01612,C0152,P005,R01,16-08-23,8,149233,0.1,7882,POS,Pending,Tunde Afolabi,Corporate Discount
ORD-00734,C0768,P012,R04,13-04-23,48,12083,0.2,6096,Cheque,Completed,Ngozi Obiora,
ORD-00070,C0544,P002,R10,03-04-23,49,73871,0,7477,Cash,Completed,Kabiru Musa,Return Requested
ORD-01585,C0696,P006,R12,13-01-22,39,7775,0.15,2086,POS,Pending,Hauwa Gombe,Urgent Delivery
ORD-00747,C0015,P018,R02,16-03-22,48,127320,0.05,1012,POS,Completed,Seun Bello,
ORD-02439,C0218,P020,R08,21-07-21,19,77138,0,7554,Cash,Completed,Yakubu Idris,Bulk Order
ORD-02627,C0934,P010,R04,15-03-22,41,20018,0.05,5471,Bank Transfer,Completed,Ngozi Obiora,
ORD-01551,C1030,P019,R02,06-06-21,49,95993,0,5787,POS,Returned,Ronke Adeyemi,Paid On Delivery
ORD-02784,C0382,P013,R09,25-06-21,6,208291,0,5554,POS,Cancelled,Yakubu Idris,
ORD-01426,C0020,P014,R07,01-03-23,12,10712,0,6437,Bank Transfer,Completed,Tonye Peterside,Paid On Delivery
ORD-00622,C0867,P002,R07,17-08-22,11,61512,0.15,3218,Cheque,Completed,Tonye Peterside,Corporate Discount
ORD-00243,C0101,P009,R03,14-05-23,36,51456,0.1,5075,Cash,Completed,Tunde Afolabi,Corporate Discount
ORD-02667,C1001,P010,R09,12-06-21,12,29169,0.2,5165,Bank Transfer,Completed,Bose Adama,
ORD-02209,C0878,P004,R01,01-11-21,26,116773,0,1529,Cash,Cancelled,Tunde Afolabi,VIP Customer
ORD-00940,C0977,P018,R12,30-08-22,44,124590,0,548,Bank Transfer,Completed,Hauwa Gombe,Corporate Discount
ORD-01494,C0339,P019,R13,28-10-21,41,89860,0,2797,Bank Transfer,Completed,Suleiman Ringim,Paid On Delivery
ORD-00444,C0884,P004,R06,15-11-23,22,117215,0.15,5300,Bank Transfer,Completed,Efemena Oghenekaro,Corporate Discount
ORD-01845,C0151,P019,R04,20-03-22,18,82717,0,6470,Cash,Pending,Amaka Nwosu,
ORD-00518,C1046,P018,R05,24-01-21,44,116056,0,4911,POS,Completed,Amaka Nwosu,Paid On Delivery
ORD-02383,C1051,P008,R04,24-04-23,17,98025,0.05,1531,Bank Transfer,Cancelled,Chidi Okonkwo,Urgent Delivery
ORD-02641,C0864,P014,R03,13-01-23,40,16816,0,2753,POS,Pending,Ronke Adeyemi,
ORD-00723,C0988,P002,R08,16-09-21,35,64615,0,3739,POS,Cancelled,Yakubu Idris,Bulk Order
